T,s,p,q
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.95000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.94000000,0.00005000
1761315930215,BTCUSDT,109820.00000000,0.00005000
1761315930215,BTCUSDT,109819.20000000,0.00005000
1761315930215,BTCUSDT,109819.06000000,0.00401000
1761315930215,BTCUSDT,109819.06000000,0.00005000
1761315930215,BTCUSDT,109819.06000000,0.00005000
1761315930215,BTCUSDT,109819.06000000,0.00005000
1761315930215,BTCUSDT,109819.06000000,0.00005000
1761315930215,BTCUSDT,109818.50000000,0.00005000
1761315930215,BTCUSDT,109817.42000000,0.00005000
1761315930215,BTCUSDT,109817.42000000,0.00005000
1761315930215,BTCUSDT,109817.42000000,0.00005000
1761315930215,BTCUSDT,109817.41000000,0.00728000
1761315930215,BTCUSDT,109817.41000000,0.00005000
1761315930215,BTCUSDT,109817.41000000,0.00005000
1761315930215,BTCUSDT,109817.41000000,0.00005000
1761315930215,BTCUSDT,109815.39000000,0.00010000
1761315930215,BTCUSDT,109815.09000000,0.00005000
1761315930215,BTCUSDT,109815.07000000,0.00010000
1761315930215,BTCUSDT,109814.67000000,0.00010000
1761315930215,BTCUSDT,109814.60000000,0.00009000
1761315930215,BTCUSDT,109814.59000000,0.00300000
1761315930215,BTCUSDT,109814.59000000,0.00005000
1761315930215,BTCUSDT,109814.37000000,0.00200000
1761315930215,BTCUSDT,109814.07000000,0.00010000
1761315930215,BTCUSDT,109813.72000000,0.00005000
1761315930215,BTCUSDT,109813.00000000,0.00006000
1761315930215,BTCUSDT,109813.00000000,0.00005000
1761315930215,BTCUSDT,109812.45000000,0.00005000
1761315930215,BTCUSDT,109811.48000000,0.00010000
1761315930215,BTCUSDT,109811.24000000,0.00005000
1761315930215,BTCUSDT,109809.91000000,0.00006000
1761315930215,BTCUSDT,109808.24000000,0.00005000
1761315930215,BTCUSDT,109807.53000000,0.00091000
1761315930215,BTCUSDT,109807.50000000,0.00005000
1761315930215,BTCUSDT,109807.07000000,0.00005000
1761315930215,BTCUSDT,109807.07000000,0.00005000
1761315930215,BTCUSDT,109807.07000000,0.00005000
1761315930218,BTCUSDT,109807.06000000,0.00006000
1761315930248,BTCUSDT,109807.06000000,0.00025000
1761315930374,BTCUSDT,109807.07000000,0.00910000
1761315930374,BTCUSDT,109807.07000000,0.00910000
1761315930376,BTCUSDT,109807.07000000,0.00910000
1761315930381,BTCUSDT,109807.07000000,0.02730000
1761315930384,BTCUSDT,109807.06000000,0.03364000
1761315930384,BTCUSDT,109807.06000000,0.04102000
1761315930384,BTCUSDT,109807.06000000,0.04268000
1761315930384,BTCUSDT,109807.06000000,0.03994000
1761315930384,BTCUSDT,109807.06000000,0.02686000
1761315930384,BTCUSDT,109807.06000000,0.00045000
1761315930384,BTCUSDT,109807.06000000,0.25437000
1761315930384,BTCUSDT,109807.06000000,0.03867000
1761315930384,BTCUSDT,109807.06000000,0.03599000
1761315930384,BTCUSDT,109807.06000000,0.26127000
1761315930384,BTCUSDT,109807.06000000,0.04042000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00180000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.16860000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.00005000
1761315930384,BTCUSDT,109807.06000000,0.14567000
1761315930384,BTCUSDT,109807.06000000,0.04530000
1761315930384,BTCUSDT,109807.06000000,0.00010000
1761315930384,BTCUSDT,109807.06000000,0.00020000
